"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|BE","Actual Total Load [MW] - CTA|BE"
"01.01.2017 00:00 - 01.01.2017 00:15","9453","10220"
"01.01.2017 00:15 - 01.01.2017 00:30","9315","10157"
"01.01.2017 00:30 - 01.01.2017 00:45","9194","10057"
"01.01.2017 00:45 - 01.01.2017 01:00","9064","10001"
"01.01.2017 01:00 - 01.01.2017 01:15","9213","9970"
"01.01.2017 01:15 - 01.01.2017 01:30","9046","9820"
"01.01.2017 01:30 - 01.01.2017 01:45","8945","9711"
"01.01.2017 01:45 - 01.01.2017 02:00","8823","9585"
"01.01.2017 02:00 - 01.01.2017 02:15","8728","9515"
"01.01.2017 02:15 - 01.01.2017 02:30","8641","9418"
"01.01.2017 02:30 - 01.01.2017 02:45","8558","9297"
"01.01.2017 02:45 - 01.01.2017 03:00","8491","9186"
"01.01.2017 03:00 - 01.01.2017 03:15","8308","9091"
"01.01.2017 03:15 - 01.01.2017 03:30","8262","9020"
"01.01.2017 03:30 - 01.01.2017 03:45","8237","8950"
"01.01.2017 03:45 - 01.01.2017 04:00","8182","8858"
"01.01.2017 04:00 - 01.01.2017 04:15","8052","8754"
"01.01.2017 04:15 - 01.01.2017 04:30","8045","8708"
"01.01.2017 04:30 - 01.01.2017 04:45","8051","8651"
"01.01.2017 04:45 - 01.01.2017 05:00","8049","8591"
"01.01.2017 05:00 - 01.01.2017 05:15","7938","8538"
"01.01.2017 05:15 - 01.01.2017 05:30","7959","8528"
"01.01.2017 05:30 - 01.01.2017 05:45","7995","8539"
"01.01.2017 05:45 - 01.01.2017 06:00","8034","8520"
"01.01.2017 06:00 - 01.01.2017 06:15","7864","8535"
"01.01.2017 06:15 - 01.01.2017 06:30","7951","8546"
"01.01.2017 06:30 - 01.01.2017 06:45","8060","8539"
"01.01.2017 06:45 - 01.01.2017 07:00","8113","8515"
"01.01.2017 07:00 - 01.01.2017 07:15","7706","8387"
"01.01.2017 07:15 - 01.01.2017 07:30","7777","8375"
"01.01.2017 07:30 - 01.01.2017 07:45","7879","8398"
"01.01.2017 07:45 - 01.01.2017 08:00","7933","8398"
"01.01.2017 08:00 - 01.01.2017 08:15","7744","8450"
"01.01.2017 08:15 - 01.01.2017 08:30","7839","8531"
"01.01.2017 08:30 - 01.01.2017 08:45","7881","8518"
"01.01.2017 08:45 - 01.01.2017 09:00","7924","8503"
"01.01.2017 09:00 - 01.01.2017 09:15","7914","8604"
"01.01.2017 09:15 - 01.01.2017 09:30","7992","8705"
"01.01.2017 09:30 - 01.01.2017 09:45","8067","8819"
"01.01.2017 09:45 - 01.01.2017 10:00","8105","8916"
"01.01.2017 10:00 - 01.01.2017 10:15","8269","9009"
"01.01.2017 10:15 - 01.01.2017 10:30","8327","9101"
"01.01.2017 10:30 - 01.01.2017 10:45","8364","9178"
"01.01.2017 10:45 - 01.01.2017 11:00","8402","9224"
"01.01.2017 11:00 - 01.01.2017 11:15","8702","9312"
"01.01.2017 11:15 - 01.01.2017 11:30","8733","9440"
"01.01.2017 11:30 - 01.01.2017 11:45","8787","9524"
"01.01.2017 11:45 - 01.01.2017 12:00","8811","9579"
"01.01.2017 12:00 - 01.01.2017 12:15","9074","9650"
"01.01.2017 12:15 - 01.01.2017 12:30","9060","9711"
"01.01.2017 12:30 - 01.01.2017 12:45","9053","9785"
"01.01.2017 12:45 - 01.01.2017 13:00","9008","9790"
"01.01.2017 13:00 - 01.01.2017 13:15","9093","9749"
"01.01.2017 13:15 - 01.01.2017 13:30","9060","9703"
"01.01.2017 13:30 - 01.01.2017 13:45","9031","9729"
"01.01.2017 13:45 - 01.01.2017 14:00","8967","9696"
"01.01.2017 14:00 - 01.01.2017 14:15","8960","9609"
"01.01.2017 14:15 - 01.01.2017 14:30","8906","9549"
"01.01.2017 14:30 - 01.01.2017 14:45","8879","9507"
"01.01.2017 14:45 - 01.01.2017 15:00","8850","9475"
"01.01.2017 15:00 - 01.01.2017 15:15","8836","9495"
"01.01.2017 15:15 - 01.01.2017 15:30","8824","9481"
"01.01.2017 15:30 - 01.01.2017 15:45","8810","9491"
"01.01.2017 15:45 - 01.01.2017 16:00","8801","9444"
"01.01.2017 16:00 - 01.01.2017 16:15","8829","9414"
"01.01.2017 16:15 - 01.01.2017 16:30","8863","9458"
"01.01.2017 16:30 - 01.01.2017 16:45","8913","9526"
"01.01.2017 16:45 - 01.01.2017 17:00","9041","9709"
"01.01.2017 17:00 - 01.01.2017 17:15","9443","9879"
"01.01.2017 17:15 - 01.01.2017 17:30","9604","10010"
"01.01.2017 17:30 - 01.01.2017 17:45","9711","10096"
"01.01.2017 17:45 - 01.01.2017 18:00","9772","10171"
"01.01.2017 18:00 - 01.01.2017 18:15","9905","10221"
"01.01.2017 18:15 - 01.01.2017 18:30","9919","10270"
"01.01.2017 18:30 - 01.01.2017 18:45","9877","10251"
"01.01.2017 18:45 - 01.01.2017 19:00","9832","10235"
"01.01.2017 19:00 - 01.01.2017 19:15","9917","10225"
"01.01.2017 19:15 - 01.01.2017 19:30","9843","10226"
"01.01.2017 19:30 - 01.01.2017 19:45","9781","10204"
"01.01.2017 19:45 - 01.01.2017 20:00","9700","10122"
"01.01.2017 20:00 - 01.01.2017 20:15","9618","10021"
"01.01.2017 20:15 - 01.01.2017 20:30","9557","10007"
"01.01.2017 20:30 - 01.01.2017 20:45","9496","9965"
"01.01.2017 20:45 - 01.01.2017 21:00","9400","9906"
"01.01.2017 21:00 - 01.01.2017 21:15","9365","9815"
"01.01.2017 21:15 - 01.01.2017 21:30","9323","9763"
"01.01.2017 21:30 - 01.01.2017 21:45","9259","9709"
"01.01.2017 21:45 - 01.01.2017 22:00","9179","9656"
"01.01.2017 22:00 - 01.01.2017 22:15","9663","9795"
"01.01.2017 22:15 - 01.01.2017 22:30","9810","9971"
"01.01.2017 22:30 - 01.01.2017 22:45","9827","10053"
"01.01.2017 22:45 - 01.01.2017 23:00","9769","10054"
"01.01.2017 23:00 - 01.01.2017 23:15","10055","10164"
"01.01.2017 23:15 - 01.01.2017 23:30","9926","10082"
"01.01.2017 23:30 - 01.01.2017 23:45","9785","9966"
"01.01.2017 23:45 - 02.01.2017 00:00","9645","9846"
"02.01.2017 00:00 - 02.01.2017 00:15","9329","9699"
"02.01.2017 00:15 - 02.01.2017 00:30","9167","9579"
"02.01.2017 00:30 - 02.01.2017 00:45","9017","9530"
"02.01.2017 00:45 - 02.01.2017 01:00","8876","9395"
"02.01.2017 01:00 - 02.01.2017 01:15","8806","9345"
"02.01.2017 01:15 - 02.01.2017 01:30","8704","9214"
"02.01.2017 01:30 - 02.01.2017 01:45","8627","9087"
"02.01.2017 01:45 - 02.01.2017 02:00","8486","8995"
"02.01.2017 02:00 - 02.01.2017 02:15","8426","8951"
"02.01.2017 02:15 - 02.01.2017 02:30","8354","8872"
"02.01.2017 02:30 - 02.01.2017 02:45","8302","8784"
"02.01.2017 02:45 - 02.01.2017 03:00","8318","8710"
"02.01.2017 03:00 - 02.01.2017 03:15","8321","8696"
"02.01.2017 03:15 - 02.01.2017 03:30","8215","8617"
"02.01.2017 03:30 - 02.01.2017 03:45","8169","8564"
"02.01.2017 03:45 - 02.01.2017 04:00","8205","8510"
"02.01.2017 04:00 - 02.01.2017 04:15","8296","8510"
"02.01.2017 04:15 - 02.01.2017 04:30","8350","8538"
"02.01.2017 04:30 - 02.01.2017 04:45","8393","8554"
"02.01.2017 04:45 - 02.01.2017 05:00","8431","8583"
"02.01.2017 05:00 - 02.01.2017 05:15","8636","8692"
"02.01.2017 05:15 - 02.01.2017 05:30","8779","8722"
"02.01.2017 05:30 - 02.01.2017 05:45","8983","8791"
"02.01.2017 05:45 - 02.01.2017 06:00","9147","8915"
"02.01.2017 06:00 - 02.01.2017 06:15","9861","9158"
"02.01.2017 06:15 - 02.01.2017 06:30","10085","9307"
"02.01.2017 06:30 - 02.01.2017 06:45","10283","9446"
"02.01.2017 06:45 - 02.01.2017 07:00","10495","9542"
"02.01.2017 07:00 - 02.01.2017 07:15","11011","9526"
"02.01.2017 07:15 - 02.01.2017 07:30","11113","9638"
"02.01.2017 07:30 - 02.01.2017 07:45","11280","9767"
"02.01.2017 07:45 - 02.01.2017 08:00","11468","9861"
"02.01.2017 08:00 - 02.01.2017 08:15","11315","10042"
"02.01.2017 08:15 - 02.01.2017 08:30","11481","10264"
"02.01.2017 08:30 - 02.01.2017 08:45","11561","10371"
"02.01.2017 08:45 - 02.01.2017 09:00","11552","10410"
"02.01.2017 09:00 - 02.01.2017 09:15","11483","10507"
"02.01.2017 09:15 - 02.01.2017 09:30","11552","10678"
"02.01.2017 09:30 - 02.01.2017 09:45","11669","10755"
